,Title,Authors
0,ReviewCancer nanotechnology: Enhancing tumor cell response to chemotherapy for hepatocellular carcinoma therapy,Author links open overlay panelYongbingSunaWenMabYuanyuanYangbMengxueHecAiminLicLeiBaidBinYueZhiqiangYub
1,Original Research PaperFluidized bed granulation of two APIs: QbD approach and development of a NIR in-line monitoring method,Author links open overlay panelAlexandruGavanaSoniaIurianaTiborCasianaAlinaPorfireaSebastianPoravbIoanaVoinaaAlexandruOpreacIoanTomutaa
2,ReviewGene to screenMicrofluidic bioprinting for organ-on-a-chip models,Author links open overlay panelFangYuDeepakChoudhury
3,"ReviewPost screenDrug resistance: origins, evolution and characterization of genomic clones and the tumor ecosystem to optimize precise individualized therapy",Author links open overlay panelIoannis D.Kyrochristos12Demosthenes E.Ziogas13Dimitrios H.Roukos124
4,FeatureProtein conjugates and fusion proteins as ocular therapeutics,Author links open overlay panelShrenik C.MehtaRobert F.KelleyDevinTesar
5,ReviewInformaticsThe Horizon Scanning System at The Italian Medicines Agency,Author links open overlay panelMicheleMarangi1JelenaIvanovic1GiuseppaPistritto2
6,"ReviewPost screenAntidepressants and nose-to-brain delivery: drivers, restraints, opportunities and challenges",Author links open overlay panelCarlaVitorino123‡SoraiaSilva12‡JoanaBicker12AmílcarFalcão124AnaFortuna124
7,ReviewPost screenSkin metabolism phase I and phase II enzymes in native and reconstructed human skin: a short review,Author links open overlay panelSiamaqueKazem1Emma CharlotteLinssen1SusanGibbs12
8,ReviewKeynoteThe safety evaluation of long-acting ocular delivery systems,Author links open overlay panelEvan A.Thackaberry1FlorenceLorget2CindyFarman3VladimirBantseev4
9,FeatureAccelerated drug discovery by rapid candidate drug identification,Author links open overlay panelFredrikBergströmBoLindmark
10,Is there a relationship between PTSD and complicated obesity? A review of the literature,Author links open overlay panelJanAasethabGrethe EmilieRoerbLarsLienbcGeirBjørklundd
11,ReviewThe role of mitochondria-derived peptides in cardiovascular disease: Recent updates,Author links open overlay panelYingxiYangaHuijuanGaobHuanZhoucQiLiuaZhongwenQiaYingZhangaJunpingZhangd
12,Diagnosis of myocardial infarction and prognostic utility of high-sensitivity troponin T after isolated aortic valve replacement☆☆☆★,Author links open overlay panelTom K.M.Wanga1Ralph A.H.Stewartab1TharumenthiranRamanathana1DavidChoia1GregGambleb1Peter N.Ruygrokab1Harvey D.Whiteab1
13,Review ArticleMassage therapy reduces pain and anxiety after cardiac surgery: A systematic review and meta-analysis of randomized clinical trials☆☆☆,Author links open overlay panelAline PaulaMiozzoabCinaraSteinabCamila BassaniBozzettoaRodrigo Della MéaPlentza
14,Coincidental impact of transcatheter patent foramen ovale closure on migraine with and without aura — A comprehensive meta-analysis,Author links open overlay panelSiddak M.KanwaraAmitNoheriabChristopher V.DeSimonebAlejandro A.RabinsteincSamuel J.Asirvathambd
15,Original Research PaperSimvastatin Nanoliposome Induces Myocardial and Hepatic Toxicities Due to Its Absorption Enhancement in Mice,Author links open overlay panelNuerbiyeTuerdiac#GulinigaerAnwaierac#XingZhangbc#ShuLiubcWanliShenbcWenLiudQiangShencRongQiabc
16,"Diagnostic Assessment & PrognosisWhat outcomes are important to patients with mild cognitive impairment or Alzheimer's disease, their caregivers, and health-care professionals? A systematic review",Author links open overlay panelClaireTochelaMichaelSmithaHelenBaldwinabAndersGustavssoncdeAmandaLyaChristinBexeliuseMiaNelsonaChristopheBintenerfEnricoFantonigJosepGarre-OlmohOlinJansseniChristophJindrajIsabella F.JørgensenkAlexMcKeownbBuketÖztürklAnnaPonjoanhmMichele H.PotashmannCatherineReedo…CathieSudlowa
17,Diagnostic Assessment & PrognosisPredicting time to dementia using a quantitative template of disease progression,Author links open overlay panelMuratBilgelaBruno M.JedynakbAlzheimer's Disease Neuroimaging Initiative1
18,Diagnostic Assessment & PrognosisSex-specific incident dementia in patients with central nervous system trauma,Author links open overlay panelTatyanaMollayevaabcMackenzieHurstbMichaelEscobardAngelaColantonioabc
19,Diagnostic Assessment & PrognosisThe incidence of mild cognitive impairment: A systematic review and data synthesis,Author links open overlay panelCaiGillisaFaribaMirzaeibMichelePotashmanbM. ArfanIkramcNancyMaserejianb
20,"Diagnostic Assessment & PrognosisTrends in health service use and potentially avoidable hospitalizations before Alzheimer's disease diagnosis: A matched, retrospective study of US Medicare beneficiaries",Author links open overlay panelUrviDesaiaNoam Y.KirsonaWenyuYebNori R.MehtaaJodyWenaJ. ScottAndrewsb
